Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Algeria,Northern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,25.4,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,40.1,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,21,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,37.3,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.7,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,31.2,54.94,25.8,-18.0588
Angola,Middle Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,22.3,43.25,-6.8,-9.2343
Angola,Middle Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,39.8,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,54.6,-6.8,-9.2343
Angola,Middle Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,54.1,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,54.6,-6.8,-9.2343
Angola,Middle Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,75,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,81.8,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.6,-6.8,-9.2343
Antigua_and_Barbuda,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,6.86,27.1,-58.8468
Antigua_and_Barbuda,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,6.86,27.1,-58.8468
Antigua_and_Barbuda,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,6.86,27.1,-58.8468
Antigua_and_Barbuda,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,none,6.86,27.1,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.1,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,6.86,27.1274,-58.8468
Antigua_and_Barbuda,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,54.6,27.1,-58.8468
Argentina,South America,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,66.8,6.86,-20.6037,-57.3816
Argentina,South America,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,39.7,59.36,-20.6037,-57.3816
Argentina,South America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,59.36,-20.6037,-57.3816
Argentina,South America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,24.9,59.36,-20.6037,-57.3816
Argentina,South America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,59.36,-20.6037,-57.3816
Argentina,South America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,85.9,59.36,-20.6037,-57.3816
Argentina,South America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,80.4,59.36,-20.6037,-57.3816
Argentina,South America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,59.36,-20.6037,-57.3816
Argentina,South America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,77.3,59.36,-20.6037,-57.3816
Argentina,South America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,86.2,59.36,-20.6037,-57.3816
Argentina,South America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,61.9,59.36,-20.6037,-57.3816
Argentina,South America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,80.9,59.36,-20.6037,-57.3816
