Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Ecuador,South America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,80,39.9,-0.1807,-70.4678
Ecuador,South America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,84.2,39.9,-0.1807,-70.4678
Ecuador,South America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,39.9,-0.1807,-70.4678
Egypt,Northern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,23,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,84.8,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,4.8,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,75.3,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,1.8,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,65.3,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,42.7,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,37.5,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,17,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,10.4,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,22.7,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,25,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,74.3,33.5,25.0444,1.2357
Egypt,Northern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,12.8,33.5,25.0444,1.2357
El_Salvador,Central America,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,23.2,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,57.3,38.7,28.6929,-81.2182
El_Salvador,Central America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,53.1,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,90,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,39.4,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,63,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,72.8,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,83.7,38.7,28.6929,-81.2182
El_Salvador,Central America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,38.7,28.6929,-81.2182
Equatorial_Guinea,Middle Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,43,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,78,12.2,2.75,-9.7833
Equatorial_Guinea,Middle Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,12.2,2.75,-9.7833
Eritrea,Eastern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,49,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,82.2,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,82.6,23.2,19.532,3.833
Eritrea,Eastern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,17,23.2,19.532,3.833
Estonia,Northern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,99.6,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,77.6,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,77,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,82.2,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,74.7,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,62.8,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,90.2,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,77.8,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,73.3,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.7,50.7,64.437,9.7535
Estonia,Northern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,50.7,64.437,9.7535
Eswatini,Southern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,36.6,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,80.1,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,68,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96,20.5,-16.3,7.1415
Eswatini,Southern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,20.5,-16.3,7.1415
Ethiopia,Eastern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,29.1,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,47.8,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,49.6,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,56.5,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,40.3,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,86.3,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,53.8,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,79.3,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,59.3,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,51.6,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,38.7,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,65.2,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,82.6,52.8,11.0,-0.74
Ethiopia,Eastern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,34.8,52.8,11.0,-0.74
Fiji,Melanesia,Oceania,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,75.8,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.1,21.5,-10.0152,93.3661
Fiji,Melanesia,Oceania,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,21.5,-10.0152,93.3661
Finland,Northern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,99.1,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,74.2,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,81.9,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,86.8,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,64.6,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,88.2,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,96,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,85.9,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,88.2,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.7,62.4,63.9139,4.7522
Finland,Northern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,62.4,63.9139,4.7522
France,Western Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,100,50.7,43.8566,-12.3522
France,Western Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,77.1,50.7,43.8566,-12.3522
France,Western Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,50.7,43.8566,-12.3522
France,Western Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,60.2,50.7,43.8566,-12.3522
France,Western Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,94.5,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,87.8,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,88.5,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,69,50.7,43.8566,-12.3522
France,Western Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,90.4,50.7,43.8566,-12.3522
France,Western Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,97.2,50.7,43.8566,-12.3522
France,Western Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,50.7,43.8566,-12.3522
Gabon,Middle Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,20.5,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,31,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,22.6,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,47.4,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,20.3,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,42,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,86.5,16.2,-1.4162,-9.4673
Gabon,Middle Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,16.2,-1.4162,-9.4673
Gambia,Western Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,24.8,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,31.1,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,16.8,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,72.4,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,8.3,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,43,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,46,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,81.1,29.8,17.4549,-26.079
Gambia,Western Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,27.4,29.8,17.4549,-26.079
Georgia,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,70.7,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,73.4,49.2,43.7151,26.271
Georgia,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,50.2,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,91.3,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,73.8,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,49.2,43.7151,26.271
Georgia,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,42.6,49.2,43.7151,26.271
